Car_Manufacturer,Car_Model,Engine_Type,Colour,Body_Style,Car_ID
Ford,Expedition,Double Overhead Camshaft,Black,SUV,1
Dodge,Durango,Double Overhead Camshaft,Black,SUV,2
Cadillac,Eldorado,Overhead Camshaft,Red,Passenger,3
Toyota,Celica,Overhead Camshaft,Pale White,SUV,4
Acura,TL,Double Overhead Camshaft,Red,Hatchback,5
Mitsubishi,Diamante,Overhead Camshaft,Pale White,Hatchback,6
Toyota,Corolla,Overhead Camshaft,Pale White,Passenger,7
Mitsubishi,Galant,Double Overhead Camshaft,Pale White,Passenger,8
Chevrolet,Malibu,Overhead Camshaft,Pale White,Hardtop,9
Ford,Escort,Double Overhead Camshaft,Pale White,Passenger,10
Acura,RL,Overhead Camshaft,Pale White,SUV,11
Nissan,Pathfinder,Double Overhead Camshaft,Pale White,Hardtop,12
Mercury,Grand Marquis,Double Overhead Camshaft,Black,SUV,13
BMW,323i,Double Overhead Camshaft,Pale White,Hatchback,14
Chrysler,Sebring Coupe,Overhead Camshaft,Pale White,Sedan,15
Subaru,Forester,Overhead Camshaft,Pale White,Hatchback,16
Hyundai,Accent,Overhead Camshaft,Black,Hatchback,17
Cadillac,Eldorado,Double Overhead Camshaft,Pale White,Passenger,18
Toyota,Land Cruiser,Double Overhead Camshaft,Pale White,SUV,19
Honda,Accord,Double Overhead Camshaft,Pale White,Sedan,20
Toyota,4Runner,Overhead Camshaft,Black,Sedan,21
Infiniti,I30,Double Overhead Camshaft,Black,Hardtop,22
Audi,A4,Overhead Camshaft,Pale White,Hardtop,23
Porsche,Carrera Cabrio,Double Overhead Camshaft,Pale White,Passenger,24
Volkswagen,Jetta,Double Overhead Camshaft,Pale White,Passenger,25
Dodge,Viper,Double Overhead Camshaft,Pale White,SUV,26
Buick,Regal,Double Overhead Camshaft,Black,Passenger,27
Chrysler,LHS,Overhead Camshaft,Pale White,Hatchback,28
Saturn,LW,Overhead Camshaft,Pale White,Hatchback,29
Mitsubishi,3000GT,Overhead Camshaft,Pale White,Sedan,30
Mercedes-B,SLK230,Overhead Camshaft,Pale White,Hatchback,31
Honda,Civic,Overhead Camshaft,Black,Hatchback,32
Jaguar,S-Type,Double Overhead Camshaft,Black,Passenger,33
Volvo,S40,Double Overhead Camshaft,Pale White,Sedan,34
Mercury,Mountaineer,Double Overhead Camshaft,Pale White,SUV,35
Buick,Park Avenue,Double Overhead Camshaft,Black,Hatchback,36
Mitsubishi,Montero Sport,Double Overhead Camshaft,Pale White,SUV,37
Nissan,Sentra,Double Overhead Camshaft,Black,Passenger,38
Volvo,S80,Overhead Camshaft,Pale White,Sedan,39
Chevrolet,Lumina,Overhead Camshaft,Black,Passenger,40
Mitsubishi,Montero Sport,Double Overhead Camshaft,Black,Hatchback,41
Pontiac,Bonneville,Overhead Camshaft,Black,Hatchback,42
Mercedes-B,C-Class,Overhead Camshaft,Pale White,Hatchback,43
BMW,323i,Overhead Camshaft,Pale White,Hatchback,44
Acura,TL,Double Overhead Camshaft,Pale White,Hatchback,45
Nissan,Altima,Double Overhead Camshaft,Pale White,Hatchback,46
Cadillac,DeVille,Double Overhead Camshaft,Pale White,SUV,47
Dodge,Stratus,Double Overhead Camshaft,Pale White,Hatchback,48
Audi,A4,Double Overhead Camshaft,Black,Hardtop,49
Mercury,Cougar,Double Overhead Camshaft,Black,Hatchback,50
Saturn,SW,Double Overhead Camshaft,Pale White,Passenger,51
Volvo,C70,Overhead Camshaft,Black,Hatchback,52
Mercury,Mountaineer,Overhead Camshaft,Pale White,SUV,53
Mercedes-B,SLK,Overhead Camshaft,Pale White,Passenger,54
Toyota,Tacoma,Overhead Camshaft,Black,Hardtop,55
Mercedes-B,M-Class,Overhead Camshaft,Pale White,Hatchback,56
Audi,A6,Double Overhead Camshaft,Black,SUV,57
Dodge,Intrepid,Double Overhead Camshaft,Pale White,Sedan,58
Dodge,Viper,Overhead Camshaft,Black,SUV,59
Toyota,Sienna,Overhead Camshaft,Black,Passenger,60
Mitsubishi,Diamante,Double Overhead Camshaft,Pale White,Hatchback,61
Jaguar,S-Type,Overhead Camshaft,Pale White,Passenger,62
Mitsubishi,Eclipse,Overhead Camshaft,Black,SUV,63
Ford,Contour,Double Overhead Camshaft,Pale White,Sedan,64
Volkswagen,Jetta,Double Overhead Camshaft,Black,Passenger,65
Mitsubishi,Montero Sport,Double Overhead Camshaft,Black,SUV,66
Lincoln,Town car,Overhead Camshaft,Black,Hatchback,67
Ford,Focus,Overhead Camshaft,Black,Hardtop,68
Audi,A6,Overhead Camshaft,Black,SUV,69
Acura,TL,Double Overhead Camshaft,Black,Hatchback,70
Ford,Mustang,Overhead Camshaft,Pale White,Hatchback,71
Oldsmobile,Cutlass,Double Overhead Camshaft,Pale White,Sedan,72
Chevrolet,Corvette,Double Overhead Camshaft,Pale White,SUV,73
Chevrolet,Impala,Overhead Camshaft,Pale White,Hatchback,74
Volkswagen,Cabrio,Overhead Camshaft,Pale White,Sedan,75
Dodge,Dakota,Overhead Camshaft,Pale White,Sedan,76
Chrysler,300M,Double Overhead Camshaft,Black,SUV,77
